,article_id,article_title,article_writer,article_view,article_like,article_comment,article_datetime
0,9189945,2022년 12월까지 버튜버 순위 갱신,asd990130,381,9,7,2023-01-02 10:40:29
1,9188907,형 뉴진스 Ditto 왁컬 커버나온거 봤어?,jaylee0514,133,1,0,2023-01-02 07:36:15
2,9188435,형 융터르 릴파님 버전 봤어?,asdhjl,439,10,1,2023-01-02 05:03:46
3,9188076,형 융터르 원곡 돚당한거 같아,arsenetroy,1069,57,8,2023-01-02 03:35:04
4,9187933,형 릴파님 방송하는데 개빡쳤어 ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,osm10998,937,43,15,2023-01-02 03:10:23
5,9187544,형 최근에 유튜브에서 데뷔한 해외 버튜버 알아?,eric51893,571,0,1,2023-01-02 02:57:46
6,9187498,형 돚거채널 총 조회수 2천만 찍은거 알아?,youtuberlood,180,0,1,2023-01-02 02:53:00
7,9187480,형 공식 계정에 발로란트 신맵 트레일러 나온거 봤어?,eric51893,122,0,0,2023-01-02 02:50:35
8,9187459,형 2022연공전 최고의 아웃풋 봤어?,woojin7587,359,1,1,2023-01-02 02:46:49
9,9187360,릴파님 팬 게임 그거 미니 게임인가 거시기 빵야빵야 1등 찍으셨어 형,osm10998,293,25,0,2023-01-02 02:29:31
