,article_id,article_title,article_writer,article_is_open,article_view,article_like,article_comment,article_datetime
0,967264168,수정방 얼마정도 할까요?,kj22268,True,12,0,4,2023-01-17 22:52:48
1,967263662,대용량 가습기 덴노보!,jsa5667,True,0,0,0,2023-01-17 22:49:28
2,967260380,샤오미 로보락 s7maxv 울트라 판매글 해킹범입니다,mi861105,True,18,0,0,2023-01-17 22:27:46
3,967256148,[공유] 23년 1월 포드링컨오너스 두번째 이벤트 (게시글왕)을 시작 합니다.,nakataqs,True,2,0,0,2023-01-17 22:03:01
4,967251272,과메기랑 소주 한잔하고 자려구요 ㅋㅋ,zxcvbnm8175,True,2,0,0,2023-01-17 21:33:20
5,967248788,구찌 카드지갑 주우신분?,koreail,True,5,0,0,2023-01-17 21:19:10
6,967246351,루젠 캐스퍼 시트&목쿠션 후기,sunkyoung000,True,7,0,0,2023-01-17 21:05:46
7,967244427,예전에 같이 일하던 직장동료(인천도화동세원전자) 서미선씨를찾습니다 ,gksrlwnd35,True,4,0,0,2023-01-17 20:54:16
8,967238131,이 사람 거르세요,wnsxo4806,True,9,0,0,2023-01-17 20:16:42
9,967231519,거래내역 저장 게시글(34) 입니다.,the_ig,True,4,0,0,2023-01-17 19:37:17
