,menu_name,menu_type,menu_id,is_menu_updated
0,"우왁굳, 왁타버스(고멤) 부문",B,648,True
1,이세계아이돌 부문,B,647,True
2,예열 연말공모전,B,640,True
3,오뱅계르크 구매 인증 리뷰,B,637,True
4,형 이거 봤어?,B,626,True
5,팬치만 받을수있는 할인,B,413,False
6,왁물원 광고 이야기하기,B,421,False
7,■ 카페 공지사항,B,24,False
8,▦ 마크 공지사항,B,358,False
9,▣ 이세돌 공지사항,B,346,True
10,이세돌의 공지사항,B,345,True
11,🥰 이세돌┃자유게시판,B,327,True
12,이세돌┃NEWS,B,347,True
13,이세돌 사진관,B,606,True
14,이세돌┃노래 근황,B,397,True
15,이세돌┃팬영상,B,361,True
16,이세돌┃작업후기,B,467,True
17,이세돌┃시참후기,B,610,False
18,이세돌┃노래 COVER,B,409,True
19,🎬 이세돌┃핫클립,B,331,True
20,🎨 이세돌┃팬아트,B,344,True
21,이세돌 썸네일 도와주기,B,532,True
22,이세돌 서브채널에 내꺼 묻히기,B,634,True
23,이세돌 오늘의 유튭각 ,B,349,True
24,└ 이세돌 엄마,B,350,True
25,6명이 다 했어요,B,367,True
26,이세돌 자막 제작소,B,394,False
27,컨텐츠용 게시판,B,404,True
28,컨텐츠용 그림판,B,365,True
29,이세돌 예능 기획 갈취당하기,B,614,False
30,왁물원 인력사무소,B,148,True
31,VR챗 감독등록소,B,513,True
32,VR챗 배우등록소,B,515,True
33,VR챗 제작등록소,B,516,False
34,통합 BEST 팬아트 게시판,B,551,False
35,금손 일러레의 방,B,552,True
36,웹툰┃BEST,B,501,False
37,BEST 웹툰 작가의 방,B,548,False
38,웹툰┃일반 (왁타버스),B,380,True
39,짤툰 + 웹툰 유망주 ,B,500,True
40,왁타버스 불법 AI 팬아트,B,604,False
41,왁타버스 불법 굿즈,B,506,True
42,왁타버스 불법 배경,B,504,True
43,🎪 고멤 놀이터,B,362,True
44,🤡 고멤 게시판,B,300,True
45,고멤┃팬영상 게시판,B,511,True
46,고멤┃핫클립 게시판,B,489,True
47,고멤┃작업 후기,B,530,True
48,고멤┃팬아트,B,299,True
49,나 도 강 사 다,B,438,True
50,팬게임 제작소,B,436,True
51,팬게임 후기 &amp; 의견,B,272,True
52,VR챗 아바타 제작소,B,435,True
53,VR챗 맵 제작소,B,377,True
54,VR챗 영상촬영 아카데미,B,491,False
55,👃🏼왁 굳 이 야 기👃🏼 ,B,138,True
56,아 오늘 방송 못봤는데,B,428,True
57,시참 성공 후기,B,40,True
58,팬영상 &amp; 왁컬로이두,B,57,True
59,우왁굳 핫클립,B,66,True
60,우왁굳 웹툰 게시판,B,58,True
61,우왁굳 팬아트,B,59,True
62,편 집 왕,B,420,True
63,"표   지   왕 (본,왁타,계륵)",B,67,True
64,표 지 왕  (업로드 후보),B,580,False
65,표 지 왕 (돚거),B,624,True
66,쇼 츠  왕,B,544,True
67,쇼츠각 노가리각 잡기,B,525,False
68,업로드각 컨텐츠 선사,B,524,False
69,&#39;왕&#39; 의 정산소,B,581,False
70,BEST 유머 정보 게시판,B,415,False
71,"🤣 유머,정보 게시판",B,122,True
72,💩 자유게시판,B,1,True
73,❓ 질문답변게시판,B,25,True
74,제발 내 인생에 훈수하세요,B,127,True
75,스포츠 게시판,B,579,True
76,패션 게시판,B,132,True
77,자동차 게시판,B,124,True
78,음악 게시판,B,433,True
79,리뷰게시판,B,84,True
80,주식 공부 게시판,B,261,True
81,충신들의 아이디어,B,50,False
82,충신들의 게임추천,B,4,True
83,충신들의 후원,B,60,False
84,└ 후원 받았다! 인증게시판,B,129,True
85,└ 느그자 게시판,B,130,True
86,충신들의 고자질,M,3,True
87, 닭둘기 이상 주소공개,B,324,False
88,마크 컨텐츠 신청소,B,308,False
89,마크 상품 신청소,B,285,False
90,BGM 효과음 음악 소스,B,159,False
91,시청자 사진단,B,160,True
92,스토리작가,B,157,False
93,"그래픽,일러스트,그림 관련",B,156,False
94,랜스대 OP+매드무비,B,76,False
95,시그니처 임시 모집,B,78,False
96,네이버 왁모티콘 공모전,B,81,False
97,착용인증&amp;성지순례인증,B,92,False
98,FILAx왁 공모전 ,B,80,False
99,Alzar Takkarsen 공모전,B,95,False
100,우왁굳 x PUBG 총기스킨 공모전,B,94,False
101,우왁굳 슈퍼 리뉴얼,B,97,False
102,나만의 패션 인증 이벤트,B,98,False
103,피부이식백의 부활,B,101,False
104,커스터마이징 신청,B,102,False
105,TPL 뉴스,B,105,False
106,TPL 분석게시판,B,107,False
107,왁굳FC를 응원해요,B,106,False
108,정식썸네일TEAM,B,45,False
109,제 1회 미션놀이 - 나만 가지고 있는 물건,B,114,False
110,제 2회 미션놀이 - 나만 할 수 있는 것,B,116,False
111,제 3회 미션놀이 - 나만 찍을 수 있는 것,B,118,False
112,"상품, 상금 수령소",B,54,False
113,FramesWinGames (MSI+Nvidia),B,117,False
114,5대왁굳 리뉴얼 공모전,B,112,False
115,OGQ 우왁끼 왁모티콘,B,119,False
116,어느도적집단,B,120,False
117,청자들의 일상,B,65,False
118,정식영상편집 TEAM,B,85,False
119,저 이거 편집해요,B,89,False
120,제 1회 사진대회 게시판,B,125,False
121,제 1회 왁파라치 사진대회,B,128,False
122,3회 배그 커플대항전 신청소,B,126,False
123,&hearts;제 4회 커플대항전 신청소,B,131,False
124,제 5회 배그 커플대항전,B,139,False
125,스트리머 부문,B,134,False
126,유투브 크리에이터 부문,B,135,False
127,삼성 갤라쇼 S20 이벤트,B,145,False
128,제 2회 갤라쇼 S20,B,147,False
129,제 3회 갤라쇼 S20 이벤트 참가,B,150,False
130,배그 : 인간가방 참가신청,B,149,False
131,고멤 지원 게시판,B,162,False
132,아이오싸커 게시판,B,163,False
133,F1 2020 리그 신청 게시판,B,164,False
134,왁카데미 게시판,B,140,True
135,왁카데미 팬아트 게시판,B,151,False
136,갤라쇼 노트20 이벤트 참가,B,171,False
137,갤라쇼 노트20 2회방송 참가,B,172,False
138,왁파트 청약 신청 (가점제),B,167,False
139,왁파트 분양 신청 (추첨제),B,168,False
140,왁파트 분양 신청 (구걸제),B,169,False
141,갤럭시 팬파티 이벤트 참가,B,179,False
142,시타델 청약 신청 (가점제),B,175,False
143,시타델 청약 신청 (하트제),B,177,False
144,시타델 청약 신청 (추첨제),B,176,False
145,인터뷰 질문 (추천높으면물어봄),B,173,False
146,카페명 변경 게시판,B,182,True
147,VR챗 모솔특집 지원,B,188,False
148,모솔특집 3 신청소,B,190,False
149,VR챗 좋은 목소리 컨테스트,B,191,False
150,항마력 대사 ,B,193,False
151,남녀 달달 대본,B,194,False
152,참가 신청 (풀트래커),B,195,False
153,조교 신청 (VR없어도 됨),B,196,False
154,우왁굳 풀 리뉴얼 공모전,B,183,False
155,스탭 지원 게시판,B,184,False
156,우승자 예측 이벤트,B,203,False
157,피파21 잔디유니버스 선수 신청소,B,205,False
158,고멤이야기,B,186,False
159,고멤 팬아트,B,187,False
160,3경기 승리팀 예측 이벤트,B,220,False
161,2경기 승리팀 예측 이벤트,B,219,False
162,1경기 승리팀 예측 이벤트,B,210,False
163,■ 신인 드래프트 선수 지망생,B,224,False
164,■ WPL 공식 정보 및 공지,B,208,False
165,선수단 목록 (감독전용),B,223,False
166,선발 라인업 (감독전용),B,213,False
167,승률 예측소,B,222,False
168,오늘의 인터뷰 기자 신청,B,221,False
169,오늘의 MOM은?,B,214,False
170,리그 기록실,B,215,False
171,■ WPL 뉴스,B,206,False
172,■ 서포터즈 게시판,B,217,False
173,팀 락커룸,B,207,False
174,WPL 리그 우승팀 예측 이벤트,B,227,False
175,우왁굳의 패션평가,B,232,False
176,WPL 올스타 참가 신청,B,230,False
177,보여줘 왁즈,B,245,False
178,▣연공전 지각 게시판,B,240,False
179,연말공모전 팬아트,B,236,False
180,연말공모전 사진 게시글,B,237,False
181,연말공모전 웹툰,B,238,False
182,연말공모전 음악 (only음악),B,239,False
183,연말공모전 음악 (with영상),B,241,False
184,연말공모전 만들기 (영상),B,242,False
185,연말공모전 편집영상 (종합),B,243,False
186,연말공모전 게임 (공지필독),B,244,False
187,진호 감독님의 게시판,B,229,False
188,영상툰 사연 신청,B,251,False
189,축구게시판,B,212,False
190,★ 오늘방송내용 ★,B,77,False
191,충신들의 번역,B,142,False
192,왁튜브 번역사전,B,144,False
193,왁케아 입점 콘테스트,B,197,False
194,왁파트 조경팀 2 선발게시판,B,201,False
195,마크 대도시 프로젝트,B,115,False
196,참가 신청 게시판,B,49,False
197,삼성 갤라쇼 S21 이벤트,B,254,False
198,갤럭시S21 뮤직stage 이벤트,B,259,False
199,갤럭시 S21 필름 스테이지,B,260,False
200,나만 가지고 있는 물건,B,268,False
201,발로 긴급 3~5인큐,B,265,False
202,왁 물 원,B,264,True
203,인터뷰 컨텐츠,B,262,False
204,벤츠 vs 비엠 vs 아우디 vs 현대,B,270,False
205,VR챗 상황극,B,266,False
206,발헤임 노예 모집,B,269,False
207,영상툰 인트로 아웃트로 ,B,267,False
208,"그림,스토리콘티,성우,채색 지원",B,250,False
209,왁파트 긴급 경매,B,247,False
210,노가리 촉매제,B,231,False
211,캠방 컨텐츠 추천,B,228,False
212,음식 신제품 알리미,B,253,False
213,VR챗 즉석변신맨 참가신청,B,278,False
214,1대100 여자 신청소,B,281,False
215,1대100 남자 신청소,B,282,False
216,VR챗 우수동물 선발대회,B,283,False
217,우리집 뷰 콘테스트,B,287,False
218,갤럭시북 갤라쇼 참가,B,289,False
219,왁타버스 고정멤버 신청,B,275,False
220,남성 참가자 신청소,B,291,False
221,여성 참가자 신청소,B,292,False
222,충신들의 가리킹 도전,B,123,False
223,왕국 지키기 신청,B,311,False
224,발로란트 고정멤버 신청소,B,302,False
225,미토피아 게시판,B,294,False
226,"작곡가, 춤선생님 지원 종료",B,313,False
227,참가팀 신청 ,B,320,False
228,방물관 참가 신청소,B,334,False
229,갈틱폰 영화의 날,B,336,False
230,이벤트 참가 게시판,B,343,False
231,4차 오디션 유튜브 영상,B,341,False
232,4차오디션 기타노래 영상,B,340,False
233,4차오디션 자기소개 영상,B,337,False
234,4차오디션 이세돌 1절 믹싱,B,335,False
235,데모송 작곡,B,315,False
236,사이버 아이돌 지원 신청소,B,314,False
237,OGQ 이모티콘 시즌2,B,332,False
238,벌칙 게시판,B,352,False
239,고멤시즌2 오디션 참가신청,B,351,False
240,오디션 참가자 실시간 소통,B,356,False
241,이세돌 프로필 내용,B,355,False
242,영화 투표,B,271,False
243,개발과정 + 필요한 소스,B,158,False
244,gartic phone 참가 게시판,B,321,False
245,왁핑몰 추가 분양,B,360,False
246,VR챗 아바타 콘테스트,B,364,False
