,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,967139030,bmw 420d 그란쿠페,엠앤앤즈,Vab5kKAVW9cUCGsjGRbs8g,62,0,1,2023-01-17 11:15:04
1,966179477,bmw 420d 그란쿠페,엠앤앤즈,Vab5kKAVW9cUCGsjGRbs8g,151,0,1,2023-01-12 14:26:33
2,966561852,BMW 118D 17년 (1250만)급매,롱펏장인,LZBeGPQp0KgFN_12UwI1EQ,117,0,2,2023-01-14 12:44:22
3,966228630,BMW 420i 컨버터블 화이트 / 모카 리스 승계합니다.,매물구입중,eVQufRT5S2KkraHlG835rA,195,0,2,2023-01-12 18:50:35
4,965104507,bmw e60 528i 09년식,gabana9034,_rZ75DBfW7SN9vA3H-GTJA,233,0,1,2023-01-07 10:42:53
5,966822699,미니쿠퍼 클럽맨 1세대 R55S ( BMW 미니 정식 센터 엔진 오버홀 작업 완료 차량),곧엄마,sg7TiZEtyND3ZfgEPp9jFQ,154,0,0,2023-01-15 19:48:15
6,965547856,"(2018년식) BMW 530i xd msp 팝니다!! 29,427km 주행",왕갈비탕특,H3PvwrmGxQjikTF_z-hqSw,192,0,5,2023-01-09 14:22:32
7,967007242,BMW E60 520d 2009 M Sport 팩 분양합니다. -사진 다량 추가 -,마앍스,oyU-WrG_DBQ_vWTQfiqx2Q,73,0,0,2023-01-16 17:39:25
8,967094141,30만)BMW 790M 순정휠+정품 순정 휠캡+ 미쉐린 PS4AS (올시즌타이어),효덕거사,AJ0J3fwbkikWKrNJ81VEMA,39,0,5,2023-01-17 05:20:58
9,967043163,Bmw mini 미니벨로자전거 팔아요,pt0519,RAixOUCU0Yn8aIkJH9qxJQ,88,0,1,2023-01-16 21:01:40
10,966855893,BMW e39 520i 2001년 화이트 세단 판매합니다.,타이거86,1z1mXVsE2eImWj7p4O7RaA,147,0,0,2023-01-15 23:03:07
11,963479783,BMW i4 eDrive40 M spt Pro 차량 판매(승계) 합니다.,광콜,PNXGYZ9TwyRy0EhGwrwdVg,171,0,0,2022-12-30 09:28:22
12,964699141,Bmw 3시리즈 팝니다.,공주님 납시오,Ecn2ND1UnnC_mijlB2y0Dg,138,0,1,2023-01-05 11:00:43
13,967058797,bmw x6 2세대,Sjsjwdjkwkskdod,sJvdx75pWxWv38wfqAJw7A,205,0,0,2023-01-16 22:27:31
14,965772700,bmw 520d m에어로 suv대차 원합니다,parksjin9807,H9bMsBKFz3bTsj9-eNhxCA,180,0,0,2023-01-10 15:20:00
15,966145129,"BMW 648M 20인치 6시리즈 뒷바퀴 한짝 22년제조품 판매(6시리즈, 7시리즈, 6gt)",환이,WSS4iAYY30qyE-vn8h4tcQ,28,0,4,2023-01-12 11:37:41
16,965579026,BMW 2017년식 f10 530d X-drive PRO edition 화이트 팝니다.,꾀꼬,4sXJQdpTOkHhZ2kFuDIkdQ,214,0,1,2023-01-09 16:57:06
17,966555838,bmw 5시리즈 윈터타이어 30만원에 판매합니다.,스티브,7M0MKPLgniU51yfZwC_5bQ,34,0,7,2023-01-14 12:15:40
18,964343423,[개인] BMW 520D 2012년 식,etnaya,xTwnRjS9NYbDQCJ6fve9PQ,274,0,2,2023-01-03 16:30:04
19,964747694,bmw 640d 팝니다,minggoo94,08eqSaPaOPDIPRDJ3IgbLg,374,0,2,2023-01-05 14:50:30
20,964709640,완료)BMW 푸쉬카,기린,5Uq3GWWR7K1AAr4c1rfVqQ,121,0,2,2023-01-05 11:47:36
21,966966018,BMW g30 845m 팝니다,흰둥이,sNRqI4xnw_2kyLpyD7dw_A,47,0,2,2023-01-16 14:09:12
22,966582883,bmw e60 528i 09년식,gabana9034,_rZ75DBfW7SN9vA3H-GTJA,174,0,0,2023-01-14 14:35:18
23,964781597,Bmw 320i e90,oneyedjack,tXP9JMgTdkCif-HS1AXLDw,285,0,5,2023-01-05 17:44:16
24,967258902,아주 깨끗한 bmw 528i 판매 및 대차합니다!,사탕수수,S6O8TWQ4GvfJJkPVO6Evpg,24,0,0,2023-01-17 22:18:26
25,964322741,2017년식 은색BMW X5(F15) 30D 차량 완전 무사고 저렴하게 팝니다(160.000키로),아담,rXmMC1jF2aFPFH4Qcz2zHg,174,0,2,2023-01-03 14:41:39
26,966334817,14년 bmw f22 220d쿱 M팩 팝니다 12만km,F22트루로드,zwG8_ErWg8SfqliEgBgV9g,110,0,0,2023-01-13 10:27:09
27,966263088,BMW 320i LCI e90 2010,터미네이러2,i7eOf-jOnBXKzNbNgONeHA,146,0,0,2023-01-12 22:07:23
28,964933629,bmw 520d m에어로 suv대차 원합니다,parksjin9807,H9bMsBKFz3bTsj9-eNhxCA,180,0,0,2023-01-06 12:49:08
29,966756877,bmw f900xr 기비삼박스 1150,a100432,gZdcHW5kpYN248CrqlaaPg,27,0,0,2023-01-15 13:33:20
