,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,9106102,우왁굳즈 질문) 오뱅계륵 티셔츠에 이거가 나중에 떨어져 나가려나요?,3616437151751740402,Ey07yuDWrYZ8-uKA-mqJ-Q,197,1,5,2022-12-27 22:32:44
1,9126100,오뱅계륵티셔츠..,말자하는 아가야,bLNirpgwyW1w-Gn9L4MC5A,96,0,4,2022-12-29 15:31:07
2,9147118,오뱅계륵 페리도트 그린 만들어왔어,준모이,N4IBkyG1SC1pcbRCfPBjzg,36,0,4,2022-12-30 21:01:36
3,9140708,오뱅계륵 못산 흑우 없제?,무억,taWNoTbGNsbDiAvjBTi-VA,208,1,35,2022-12-30 17:14:12
4,9154386,마음같아서는 필라 굿즈 하고 교환해서라도 오뱅계륵 굿즈 얻고 싶네요,존버팬치,VCPB9P2FKqq_vXzvwQkxDw,83,0,8,2022-12-31 11:43:44
5,8801055,오뱅계륵 블랙은 언제 나오는지 여쭙는 걸 여쭈어보아도 되는지에 대한 안건을 올리는 걸 허락해주실 수 있으신가요?,맛,HlUEuEPmIckypvv_gAv0yQ,156,0,12,2022-12-07 23:58:12
6,7654201,핸님들 오뱅계륵 불법굿즈 만들어도 될까요?,왁잘딱,l-3lZwzKLuTaOLew3v66tg,224,0,3,2022-09-17 13:27:16
7,8793337,오뱅계르크 은근 어감이 오뱅계륵에서 한다는 뜻으로 보이지 않나요?ㅋㅋ,MaXx,o-FkKH8X-NnFxPGpMnD-RA,115,0,2,2022-12-07 14:00:42
8,8708531,오뱅계륵 브랜드 런칭,임레이,-zvCOajsfU_XvfiXr7SrmA,320,0,3,2022-12-01 02:14:59
9,8708223,명품 브랜드 “오뱅계륵”,임레이,-zvCOajsfU_XvfiXr7SrmA,122,0,2,2022-12-01 01:49:09
10,9153251,혹시 오뱅계륵 더이상 못구하나요?,mino82,lT_-a0kDaZuMeiYGjSqnZA,51,0,5,2022-12-31 08:57:56
11,6607651,오뱅계륵 로고 뭔가 익숙하다 했더니,약을팔자,05Za6Hp17Jy_Ics3ViOBug,132,0,1,2022-06-22 02:40:12
12,7756715,횐님들 오뱅계륵 티셔츠 디자인 어디서 보더라요,다온123,osDEqaGGSc6sHHhJtQfpaQ,169,0,2,2022-09-23 18:56:00
13,6607674,뭔가 오뱅계륵 막타는,약을팔자,05Za6Hp17Jy_Ics3ViOBug,32,0,2,2022-06-22 02:45:42
14,6049129,오뱅계륵 왜이리 맘에들지 ㅋㅋㅋㅋㅋㅋ,둘기같은참새,ESz2aE6U7l4qCmygJ0GZ8g,30,0,2,2022-05-14 01:53:33
15,9146880,형 오뱅계륵 컬러 이것저것 합성해왔어,준모이,N4IBkyG1SC1pcbRCfPBjzg,36,0,0,2022-12-30 20:48:22
16,6456175,타스)계륵 오뱅 내용,SEGUSEGU,HyyF-seR8MR1nrKs3WnE3Q,276,0,1,2022-06-11 13:46:25
17,8709691,오뱅계륵티셔츠 두개재,애애,T-vOyiY-hYRtp8qKvqQq3g,104,0,0,2022-12-01 06:52:02
18,7648578,오뱅계륵 행택 레게노..!!,스믜,PwvS9YFrihNxU8d983d40Q,121,0,0,2022-09-16 22:38:00
19,6459433,오뱅계륵,l하와와l,SI7fdxOlUKj15rLLkxFw6w,51,0,0,2022-06-11 18:12:13
20,6049111,오뱅 계륵 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,따몽,qkoremnFnmB4pcvq2HqSjg,27,0,0,2022-05-14 01:52:10
21,5542985,오뱅 똥겜각에 계륵님 올만에 뱅송 키시네요,중계,h499YTj2ZRecinS4ExfAvg,35,0,0,2022-04-09 12:54:19
22,6049117,오뱅계륵ㅋㅋㅋㅋㅋㅋㅋ,코카인덴티스트,TQQPC5Ahha9ZbbWHBP_8lQ,13,0,0,2022-05-14 01:52:34
23,6052401,오뱅 계륵,진수진,JfK5nOtM37LqeUOShPiXRQ,108,0,0,2022-05-14 09:52:22
