,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,964065677,i3 10100F 지포스 GT1030 데스크탑 컴퓨터 본체 팝니다,바나나줄무늬,xGSjKzUfNTI5XmafUS0cXQ,5,0,0,2023-01-02 11:15:18
1,964064471,[판매] i3 i5 i7 각종 CPU 및 부품 판매합니다,디아이피씨,8pulbEs4kRkZwdzFr7NqTg,13,0,0,2023-01-02 11:09:58
2,964063960,HP JOSHUA-H61보드+i3 3220 팝니다,비엠매니악,UBTdFm1eIehRSW0qSQdgrA,12,0,0,2023-01-02 11:07:38
3,964063017,i3-3220 H61 ram 4G 보드셋 판매합니다.,가자맨앞으로,KL9d7dinTma1DSqkvBOdlQ,9,0,0,2023-01-02 11:03:32
4,964052647,메인보드 ASUS PAH61-M PLUS2 + I3 2100 CPU + FAN,빗살공기하늘,FqisqY761Tgkt6UD-Q037A,9,0,0,2023-01-02 10:17:05
5,964050778,"[판매] 인텔/AMD CPU i3-i5-i7-i9/라이젠,인텔쿨러,서멀구리스,시디롬",컴프라자,Xeri1CW9K9S-ZyaW6uCR6A,4,0,0,2023-01-02 10:07:47
6,964048772,삼성 슬레이트7 i3 64기가 팝니다,Khwan,yeCEKfAB-kcPPSXH8p0mWQ,11,0,0,2023-01-02 09:57:17
7,964048564,"사무실정리 ssd하드 장착된 삼성 i3 6세대 사무용컴퓨터 처분합니다 /램 8기가 /하드 500기가 /수원,택배가능",ywj1529,JSeU7yJ5NJaydZVQXfcImA,12,0,0,2023-01-02 09:56:03
8,964048232,LG 15UB470 (i3-6006U),영준혜린2,KVNSLGhhdAGz6aNmVBozpQ,10,0,0,2023-01-02 09:54:18
9,964047079,i3 8100 / 삼성 DDR3 4G 램,ㅇDAISYㅇ,q27aF4f-O_vEM7wLnQnyNw,30,0,0,2023-01-02 09:47:54
10,964046741,HP X360 i3-7100/8G/250G 터치노트북 - 무료배송,바다에 가고싶다,Pvr0aqVKB6AnCLdsy5Gsuw,13,0,0,2023-01-02 09:46:08
11,964046526,i3-6100및 메인보드+쿨러,wjdgml7765,EgQEnu-fskg-Q_CMchP4hw,15,0,0,2023-01-02 09:44:54
12,964045032,컴퓨터 본체 i3 3220 수리용,순 ㅡㅡㅡ,sIe_7jfnC2XwDGp2_nYGUQ,5,0,0,2023-01-02 09:36:56
13,964042197,"(부산) 라이젠 2200G, i3 4160, 노트북램 DDR3등",맑은하늘시원바람,RmEwjm3DsFX_vgit2fQnLA,20,0,0,2023-01-02 09:22:53
14,964037591,NXI-I7000(i3 3세대부품용3만)착불 hp 65550b(동작되나 반부품용)3만착불,dpftlelzja,F_dRYR6IzmB7amvxUGaavg,2,0,0,2023-01-02 08:55:30
15,964033960,인텔 i3-12100 i5-12400 / 라이젠 4600G 5600G 판매,원클릭컴퓨터,lM4aHBUA7h4Hpw7chyl7iw,4,0,0,2023-01-02 08:30:06
16,964033281,삼성 10세대 i3 노트북 저렴하게 팝니다.,고구마,ztZfmMWkqADTDtv9kG74HA,14,0,0,2023-01-02 08:24:22
17,964028909,세종) 삼성 i3-4150/8g/ssd 120g 완본체 5만,팔봉탱구,dcVtRvTT5GKxOm4w6DKqLQ,10,0,0,2023-01-02 07:44:35
18,964026406,asus 노트북 i3 4세대 ssd 128gb,bababa1111,uh3l-qqHMZKGraGahiJw2w,18,0,0,2023-01-02 07:13:41
19,964025163,인텔 7세대 i3-7100 반본체 팝니다,절대신용777,KSqqV26Ez2P4MpRy9jzx7w,17,0,0,2023-01-02 06:55:26
20,964025036,인텔 7세대 i3-7100 반본체 팝니다,절대신용777,KSqqV26Ez2P4MpRy9jzx7w,18,0,0,2023-01-02 06:53:02
21,964019090,HP I3 컴퓨터 풀세트 팝니다- 55000원,백배19,25tUF6dTgBwFH1VofviIKA,15,0,0,2023-01-02 04:43:41
22,964012257,게임용 게이밍 컴퓨터 PC I3-9100F RX570 데스크탑 본체,크크로노스스,Xbtum_L7MQIJPdMTteS0gA,4,0,0,2023-01-02 02:16:47
23,964011887,HP 27인치 올인원PC 판매 (i3-10세대/SSD256G/램8G),지프매니아,rOjpzlZKPOWWaM1pbWyz1w,17,0,0,2023-01-02 02:10:13
24,964010280,삼성 갤럭시 북S 인텔 i3 wifi / 8gb 256gb/ 경기도 직거래 37만원,je ne regrette rien,j10L-sI0HZ1nfPUymZs2HQ,22,0,0,2023-01-02 01:43:13
25,964008358,"컴퓨터 본체(데스크탑 판매, i3-3220-3세대)",사랑의 역사,BoWyVi2LyR5mQamW_isZfg,10,0,0,2023-01-02 01:14:28
26,964008141,i3 3세대 컴퓨터 본체(데스크탑) 판매,코스모폴리스,re0OvnFHfxGphUb6U4tH4A,12,0,0,2023-01-02 01:11:52
27,964002881,델 미니pc +i3- 6100-기본클럭 3.7기가 // 반본체 베어본 / 옵티플랙스 7040 sff /택배 가능 /3대 소유 /상태께끗,art82119,QEgdWAvvuhsQZWBiypO3sw,32,0,0,2023-01-02 00:19:59
28,964001226,LG 노트북 15U530 i3/SSD 팝니다.,베레베레뿡,t0xd9xAIYwZVqaUA4JWCWA,15,0,0,2023-01-02 00:09:03
29,964000759,i3-6100 +메인보드 세트 4만5천원,샤오미공기청정기,ZEAcTMkzD6jIa1OjGX2Vvw,27,0,0,2023-01-02 00:06:14
