,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,964048357,[부산] AMD 라이젠 5800X3D 미개봉 신품 cpu 팝니다(42만),광안리토박이,S2wxpr9GK4BAWUyrw3YJJw,33,0,0,2023-01-02 09:55:00
1,963333273,라이젠 5800X3D,리비니크,lyVW43sUz0G4pYN1kJhJsQ,367,0,0,2022-12-29 14:17:59
2,962659585,AMD 라이젠7-4세대 5800X3D 정품 미개봉 41만 팝니다.,ryohga,rpPh8Fk-gX4TuivNu2SE1w,111,0,0,2022-12-26 11:24:26
3,962488823,AMD 라이젠 7 5800X3D (버미어) 정품 CPU 미개봉 팝니다.서울(개인),서초 강남,xCWQm0jvMQL3bPuqt-Q70A,263,0,0,2022-12-25 13:13:21
4,962281057,AMD 라이젠 5800x3D,또오로로롱,r7gWNciWqobIxpOO0eZlMw,175,0,1,2022-12-24 10:36:28
5,962150577,AMD 라이젠 7 5800X3D (버미어) 정품 CPU 미개봉 팝니다.서울(개인),서초 강남,xCWQm0jvMQL3bPuqt-Q70A,242,0,1,2022-12-23 15:59:48
6,962142258,미개봉 5800X3D 라이젠,모태신용2,vdBeB-AswIKM6F5x-AV2wg,176,0,2,2022-12-23 15:14:58
7,962100621,미개봉 라이젠 5800X3D 정품 팝니다.,잉꾸파파,Dv325hVA69c-K96q-Pph4Q,138,0,0,2022-12-23 11:47:53
8,962096527,[미개봉 신품] 버미어 AMD 라이젠7 4세대 5800X3D 팝니다.,몸블랑,002rwjiK0pXtH7oyVrvDgw,273,0,0,2022-12-23 11:28:59
9,961889755,라이젠 5800X3D,리비니크,lyVW43sUz0G4pYN1kJhJsQ,256,0,0,2022-12-22 11:37:17
10,961558708,라이젠7-4세대 5800X3D (버미어) 미개봉ㅍㅍㅍ,목포라이젠,Dvl_UokZZzutvIipPDJAxQ,165,0,2,2022-12-20 19:44:14
11,961280147,AMD 라이젠 5800X3D CPU 판매합니다.,천사의미소,NcpKy0aVwDjvLr-9dy2gUw,126,0,8,2022-12-19 13:56:34
12,960926440,[판매완료] AMD 라이젠7-4세대 5800X3D (버미어) (정품) 미개봉 새제품 팝니다,MiScale,6oVHIR1DtX-KMKoCOVkR1w,166,0,3,2022-12-17 17:49:49
13,960835590,라이젠 5800x3d(미개봉) 판매합니다.,y2olee,eEt5ESV0PdN_TGzDCwAWxg,104,0,0,2022-12-17 09:42:43
14,960692122,AMD 라이젠 5800X3D CPU + MSI B550 토마호크 메인보드 PC 컴퓨터 부품 대구 달서구,백설기,3SJle5uk5zongVV_69zvqg,214,0,0,2022-12-16 14:03:38
15,960690681,AMD 라이젠7-4세대 5800X3D (버미어) (정품) 미개봉,앙칼진영웅,qZgKRzHKpCKhzTBH8nPE9A,112,0,0,2022-12-16 13:56:27
16,960650277,[미개봉] AMD 라이젠7-4세대 5800X3D (버미어) (정품),neocjh7793,msx9fX0nZmp6V3wGM87lAg,60,0,0,2022-12-16 10:47:12
17,960528923,라이젠 5800X3D 미개봉 수량 5,허니허2,CfSvxf_4O33wpooy_4Sy5w,122,0,1,2022-12-15 17:45:01
18,960525050,[미개봉] AMD 라이젠7-4세대 5800X3D (버미어) (정품),neocjh7793,msx9fX0nZmp6V3wGM87lAg,43,0,0,2022-12-15 17:22:56
19,960268096,[미개봉] AMD 라이젠7-4세대 5800X3D (버미어) (정품),neocjh7793,msx9fX0nZmp6V3wGM87lAg,32,0,0,2022-12-14 13:04:13
20,960238359,[라이젠] AMD 5800x3d 미개봉 팔아요,인돌장군,qBmHYXLhJQ2dURAaBNPEsg,344,0,3,2022-12-14 10:47:45
21,960218297,라이젠 5800x3D 벌크판매,bluezlxl,hy6zsLImtlEtKRr_6uUH6Q,120,0,1,2022-12-14 09:18:37
22,960138688,[판매완료]라이젠 5800x3d 미사용품 저렴하게 판매합니다,JK Cho,mNyTn6ATl2dn2wOPI5q_sA,61,0,0,2022-12-13 20:28:02
23,960053055,[미개봉] AMD 라이젠7-4세대 5800X3D (버미어) (정품),neocjh7793,msx9fX0nZmp6V3wGM87lAg,37,0,0,2022-12-13 12:59:16
24,960006202,라이젠 5800x3D 벌크판매,bluezlxl,hy6zsLImtlEtKRr_6uUH6Q,93,0,0,2022-12-13 09:30:49
25,959836726,라이젠 5800x3D 벌크판매,bluezlxl,hy6zsLImtlEtKRr_6uUH6Q,102,0,0,2022-12-12 13:11:27
26,959833860,라이젠 7 5800x3d 팝니다,neocjh7793,msx9fX0nZmp6V3wGM87lAg,81,0,0,2022-12-12 12:58:41
27,959465214,AMD 라이젠7 5800x3d 팝니다,shit1222,_pE5YuRU4UrLqeBZ07TB2Q,95,0,1,2022-12-10 15:50:48
28,959382936,라이젠 5800x3d 판매합니다,bluezlxl,hy6zsLImtlEtKRr_6uUH6Q,132,0,0,2022-12-10 08:23:26
29,959267284,amd 라이젠 5800x3d 38만,로니미소,dTv0_3YqfYAZYpI2a_oM4A,174,0,1,2022-12-09 15:41:55
