,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,9187530,8천만원대 오픈카 BMW Z4 M40i,포커팬치,4SbSUs2K2-KmsizodXYb5w,16,0,1,2023-01-02 02:56:38
1,9182183,왁굳형 bmw m340i가 첫차인가요?,복어볶음,2sgHLf8pcAE9_4J3X-9J0w,122,0,13,2023-01-01 19:03:05
2,9178219,BMW를 타는 방송인,슈슈잉이퀸,eGAQJajY5rgxM-HzVL9B6w,169,3,8,2023-01-01 13:54:49
3,9176321,BMW 435 JDM화 시키기[자동차 튜닝],반하다538,1B3udwENL8ZKj9cn2iqEyA,14,0,0,2023-01-01 11:37:35
4,9172147,BMW X7 40i LCI 시승기 (처음부분 풀악셀),포커팬치,4SbSUs2K2-KmsizodXYb5w,20,0,1,2023-01-01 02:20:08
5,9171734,BMW i7,포커팬치,4SbSUs2K2-KmsizodXYb5w,11,0,1,2023-01-01 01:57:28
6,9160377,BMW 3SERIES POLICE CAR,체스터60,IUonAc-pqDU8cickoWSGLg,40,0,1,2022-12-31 19:56:53
7,9154804,드림카 테스트 그와중에 이미지는 BMW ㅋㅋㅋㅋㅋㅋㅋㅋ (링크 당연히 있음),Hyunjaeee,WfkW1Aqexs3RW9Nk4eHMWA,41,0,1,2022-12-31 12:31:25
8,9154327,BMW 디자이너가 오픈한 카페 전시공간,보리존슨,hW0NGc_Wm6hccn-v7kK8lQ,134,0,0,2022-12-31 11:34:29
9,9144747,인천 송도 페리도트그린 BMW m330i 운전하는 우왁굳 굳즈 입은 30대 후반 남성..메모,벼슬,4twTp0mElF_HUCkaHnxaJg,11,0,0,2022-12-30 19:55:30
10,9144712,BMW 520D에 1억 발라서 튜닝하기,난바팬치,OYCJJttTOZTBvFw82TFwbA,22,0,0,2022-12-30 19:54:22
11,9133875,차가운 노면에서도 제로백 3.8초 찍어버리는 BMW M340i,포커팬치,4SbSUs2K2-KmsizodXYb5w,22,0,0,2022-12-30 03:52:29
12,9130311,BMW 자랑!,엠제로,DUWD82tPUeVS0WXF24sdlg,16,0,1,2022-12-29 22:04:21
13,9129150,버거땅 BMW M340i 신형 리뷰야,낭만있는백수,iscIU5e5y2Y5n3TFvL7nlg,25,0,0,2022-12-29 21:08:03
14,9125672,내 사랑 bmw340i 페리도트는 바라보면 기분이 쥰내 좋앗,하나,0CTx0XhBfBRzMYVBz28xvQ,8,0,0,2022-12-29 14:52:58
15,9122159,BMW M340i 1인칭 드라이브,포커팬치,4SbSUs2K2-KmsizodXYb5w,15,0,0,2022-12-29 02:59:15
16,9122146,BMW X7 40i LCI,포커팬치,4SbSUs2K2-KmsizodXYb5w,11,0,0,2022-12-29 02:57:28
17,9121011,700마력짜리 BMW M3로 뉘르브르크링 돌기,포커팬치,4SbSUs2K2-KmsizodXYb5w,6,0,0,2022-12-29 00:39:29
18,9115614,BMW 신형 X7 봤습니다.... 그냥 너무 이뻐요 ㅠㅠㅠ,kddx2020,R0MU-77FJVwO7gaPF7ecZQ,93,2,1,2022-12-28 15:30:52
19,9110400,[FULL] [2022 연말공모전] &quot;BMW X WAK Limited Edition&quot; 풀영상 및 와꾸텽 반응,콩붕어,kh5u-Cqu8e_zG4wiYm_RFA,159,4,4,2022-12-28 02:34:12
20,9109553,유모차마저 &quot;M&quot; 역시 BMW ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,왁창인생,3p3QAe8HOsIlM34YjqY1mw,4,0,0,2022-12-28 01:11:51
21,9109531,아 BMW 유모차 취향저격 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,달고나라떼,eOTwBgGOmVPWyBzn8mK2Dg,5,0,0,2022-12-28 01:11:21
22,9108154,그에게 주어지는 BMW목걸이 ㅋㅋㅋㅋㅋ,마로카,O76kx-RW3yySIy4C27PGaQ,4,0,0,2022-12-28 00:05:13
23,9108148,bmw 목걸이 뭐임 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,고세구라니다,hDOrctRAKgPJT0Oj1p_Qrw,3,0,0,2022-12-28 00:04:51
24,9107615,[2022 연말공모전] BMW X WAK To.그분,프레디,-mF_ko5TJVpo8WUza7QuYg,2769,132,77,2022-12-27 23:46:39
25,9105627,BMW M3 컴페티션 뻥 뚫린 도로에서 운전,포커팬치,4SbSUs2K2-KmsizodXYb5w,30,1,1,2022-12-27 22:05:31
26,9105475,Bmw 740i xDrive,포커팬치,4SbSUs2K2-KmsizodXYb5w,17,0,0,2022-12-27 21:56:20
27,9104720,2023 BMW M750e 좀 이쁜듯,집닭,_dgCQ7UCh0TfM-HOdmrOTg,3,0,0,2022-12-27 21:17:01
28,9104696,튜닝된 BMW M2타고 270km/h 때려밟기,국산배추김치,Uf1efYeSm3cZOtOfc_w6gw,12,0,0,2022-12-27 21:15:54
29,9104692,외국의 BMW 인식,Alllight,SsdlEjB9nlJaQ4LLYMXkEA,99,1,0,2022-12-27 21:15:46
